Day of year,Hour,week_or_not,road_num,functional_road_class_desc,time_rate,rain,temperature,atmospheric_pressure,humidity,wind_speed,clouds,current_luminosity,atmosphere
15.0,19.0,1.0,1.0,3.0,0.9999928571938772,0.0,8.0,1019.0,93.0,1.0,12.0,0.0,0.0
15.0,19.0,1.0,2.0,3.0,0.2922900109173548,0.0,8.0,1019.0,93.0,1.0,12.0,0.0,0.0
15.0,19.0,1.0,3.0,1.0,0.7935524753889477,0.0,8.0,1019.0,93.0,1.0,12.0,0.0,0.0
15.0,19.0,1.0,4.0,2.0,0.5450093089070785,0.0,8.0,1019.0,93.0,1.0,12.0,0.0,0.0
15.0,20.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1020.0,93.0,1.0,20.0,0.0,0.0
15.0,20.0,1.0,2.0,3.0,0.8041742049422274,0.0,9.0,1020.0,93.0,1.0,20.0,0.0,0.0
15.0,20.0,1.0,3.0,1.0,0.9999973684279776,0.0,9.0,1020.0,93.0,1.0,20.0,0.0,0.0
15.0,20.0,1.0,4.0,2.0,0.9193530127120684,0.0,9.0,1020.0,93.0,1.0,20.0,0.0,0.0
15.0,21.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,87.0,2.0,75.0,0.0,0.0
15.0,21.0,1.0,2.0,3.0,0.9999993045117626,0.0,10.0,1020.0,87.0,2.0,75.0,0.0,0.0
15.0,21.0,1.0,3.0,1.0,0.9999973684279776,0.0,10.0,1020.0,87.0,2.0,75.0,0.0,0.0
15.0,21.0,1.0,4.0,2.0,0.9999978723449524,0.0,10.0,1020.0,87.0,2.0,75.0,0.0,0.0
15.0,22.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1020.0,93.0,3.0,75.0,0.0,0.0
15.0,22.0,1.0,2.0,3.0,0.999999342105696,0.0,9.0,1020.0,93.0,3.0,75.0,0.0,0.0
15.0,22.0,1.0,3.0,1.0,0.9999973684279776,0.0,9.0,1020.0,93.0,3.0,75.0,0.0,0.0
15.0,22.0,1.0,4.0,2.0,0.9999978723449524,0.0,9.0,1020.0,93.0,3.0,75.0,0.0,0.0
15.0,23.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,93.0,4.0,75.0,0.0,0.0
15.0,23.0,1.0,2.0,3.0,0.999999342105696,0.0,10.0,1020.0,93.0,4.0,75.0,0.0,0.0
15.0,23.0,1.0,3.0,1.0,0.9999973210123936,0.0,10.0,1020.0,93.0,4.0,75.0,0.0,0.0
15.0,23.0,1.0,4.0,2.0,0.9999978723449524,0.0,10.0,1020.0,93.0,4.0,75.0,0.0,0.0
16.0,0.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,87.0,4.0,75.0,0.0,0.0
16.0,0.0,1.0,2.0,3.0,0.999999342105696,0.0,10.0,1020.0,87.0,4.0,75.0,0.0,0.0
16.0,0.0,1.0,3.0,1.0,0.9999972973046016,0.0,10.0,1020.0,87.0,4.0,75.0,0.0,0.0
16.0,0.0,1.0,4.0,2.0,0.9999978723449524,0.0,10.0,1020.0,87.0,4.0,75.0,0.0,0.0
16.0,1.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,87.0,3.0,75.0,0.0,0.0
16.0,1.0,1.0,2.0,3.0,0.999999342105696,0.0,10.0,1020.0,87.0,3.0,75.0,0.0,0.0
16.0,1.0,1.0,3.0,1.0,0.9999972973046016,0.0,10.0,1020.0,87.0,3.0,75.0,0.0,0.0
16.0,1.0,1.0,4.0,2.0,0.9999978723449524,0.0,10.0,1020.0,87.0,3.0,75.0,0.0,0.0
16.0,2.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1019.0,87.0,3.0,75.0,0.0,0.0
16.0,2.0,1.0,2.0,3.0,0.999999342105696,0.0,10.0,1019.0,87.0,3.0,75.0,0.0,0.0
16.0,2.0,1.0,3.0,1.0,0.9999972973046016,0.0,10.0,1019.0,87.0,3.0,75.0,0.0,0.0
16.0,2.0,1.0,4.0,2.0,0.9999978723449524,0.0,10.0,1019.0,87.0,3.0,75.0,0.0,0.0
16.0,3.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1019.0,93.0,4.0,75.0,0.0,0.0
16.0,3.0,1.0,2.0,3.0,0.999999342105696,0.0,9.0,1019.0,93.0,4.0,75.0,0.0,0.0
16.0,3.0,1.0,3.0,1.0,0.9999972973046016,0.0,9.0,1019.0,93.0,4.0,75.0,0.0,0.0
16.0,3.0,1.0,4.0,2.0,0.9999978723449524,0.0,9.0,1019.0,93.0,4.0,75.0,0.0,0.0
16.0,4.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1019.0,87.0,3.0,75.0,0.0,0.0
16.0,4.0,1.0,2.0,3.0,0.999999342105696,0.0,9.0,1019.0,87.0,3.0,75.0,0.0,0.0
16.0,4.0,1.0,3.0,1.0,0.9999972973046016,0.0,9.0,1019.0,87.0,3.0,75.0,0.0,0.0
16.0,4.0,1.0,4.0,2.0,0.9999978723449524,0.0,9.0,1019.0,87.0,3.0,75.0,0.0,0.0
16.0,5.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1018.0,87.0,3.0,75.0,0.0,0.0
16.0,5.0,1.0,2.0,3.0,0.999999342105696,0.0,9.0,1018.0,87.0,3.0,75.0,0.0,0.0
16.0,5.0,1.0,3.0,1.0,0.9999972973046016,0.0,9.0,1018.0,87.0,3.0,75.0,0.0,0.0
16.0,5.0,1.0,4.0,2.0,0.9999978723449524,0.0,9.0,1018.0,87.0,3.0,75.0,0.0,0.0
16.0,6.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1018.0,87.0,3.0,75.0,0.0,0.0
16.0,6.0,1.0,2.0,3.0,0.999999342105696,0.0,9.0,1018.0,87.0,3.0,75.0,0.0,0.0
16.0,6.0,1.0,3.0,1.0,0.9999972973046016,0.0,9.0,1018.0,87.0,3.0,75.0,0.0,0.0
16.0,6.0,1.0,4.0,2.0,0.9999978723449524,0.0,9.0,1018.0,87.0,3.0,75.0,0.0,0.0
16.0,7.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1018.0,88.0,3.0,75.0,0.0,0.0
16.0,7.0,1.0,2.0,3.0,0.999999285714796,0.0,9.0,1018.0,88.0,3.0,75.0,0.0,0.0
16.0,7.0,1.0,3.0,1.0,0.7254887735514244,0.0,9.0,1018.0,88.0,3.0,75.0,0.0,0.0
16.0,7.0,1.0,4.0,2.0,0.7580632934463009,0.0,9.0,1018.0,88.0,3.0,75.0,0.0,0.0
16.0,8.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1018.0,89.0,3.0,75.0,0.0,0.0
16.0,8.0,1.0,2.0,3.0,0.8704507096784051,0.0,9.0,1018.0,89.0,3.0,75.0,0.0,0.0
16.0,8.0,1.0,3.0,1.0,0.7517658592772666,0.0,9.0,1018.0,89.0,3.0,75.0,0.0,0.0
16.0,8.0,1.0,4.0,2.0,0.624283988166469,0.0,9.0,1018.0,89.0,3.0,75.0,0.0,0.0
16.0,9.0,1.0,1.0,3.0,0.925919723733961,0.0,10.0,1018.0,90.0,2.0,75.0,0.0,0.0
16.0,9.0,1.0,2.0,3.0,0.6810216113435206,0.0,10.0,1018.0,90.0,2.0,75.0,0.0,0.0
16.0,9.0,1.0,3.0,1.0,0.7296866861205896,0.0,10.0,1018.0,90.0,2.0,75.0,0.0,0.0
16.0,9.0,1.0,4.0,2.0,0.6726814972329013,0.0,10.0,1018.0,90.0,2.0,75.0,0.0,0.0
16.0,10.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1019.0,91.0,2.0,75.0,0.0,0.0
16.0,10.0,1.0,2.0,3.0,0.7770475673185794,0.0,10.0,1019.0,91.0,2.0,75.0,0.0,0.0
16.0,10.0,1.0,3.0,1.0,0.6900876512752667,0.0,10.0,1019.0,91.0,2.0,75.0,0.0,0.0
16.0,10.0,1.0,4.0,2.0,0.6535890517499521,0.0,10.0,1019.0,91.0,2.0,75.0,0.0,0.0
16.0,11.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1019.0,92.0,2.0,75.0,0.0,0.0
16.0,11.0,1.0,2.0,3.0,0.7008769091644379,0.0,10.0,1019.0,92.0,2.0,75.0,0.0,0.0
16.0,11.0,1.0,3.0,1.0,0.674710604674813,0.0,10.0,1019.0,92.0,2.0,75.0,0.0,0.0
16.0,11.0,1.0,4.0,2.0,0.6496263316479809,0.0,10.0,1019.0,92.0,2.0,75.0,0.0,0.0
16.0,12.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1019.0,93.0,2.0,75.0,2.0,0.0
16.0,12.0,1.0,2.0,3.0,0.6529185349918757,0.0,10.0,1019.0,93.0,2.0,75.0,2.0,0.0
16.0,12.0,1.0,3.0,1.0,0.6903282966172644,0.0,10.0,1019.0,93.0,2.0,75.0,2.0,0.0
16.0,12.0,1.0,4.0,2.0,0.5408908926429813,0.0,10.0,1019.0,93.0,2.0,75.0,2.0,0.0
16.0,13.0,1.0,1.0,3.0,0.9999928571938772,0.0,11.0,1018.0,87.0,2.0,75.0,2.0,0.0
16.0,13.0,1.0,2.0,3.0,0.6723883900046929,0.0,11.0,1018.0,87.0,2.0,75.0,2.0,0.0
16.0,13.0,1.0,3.0,1.0,0.6560710883946024,0.0,11.0,1018.0,87.0,2.0,75.0,2.0,0.0
